"lang"
{
	"Language"		"English"
"DOTA_Tooltip_ability_satan_breath_damage_from_str"						"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_satan_breath_creep_multipler"						"CREEP DAMAGE MULTIPLER:"
"DOTA_Tooltip_ability_satan_breath_duration"							"DURATION:"
"DOTA_Tooltip_ability_satan_breath_tick_count"							"TICK COUNT:"

"DOTA_Tooltip_modifier_satan_breath_active"								"Breath of Devil"
"DOTA_Tooltip_modifier_satan_breath_active_Description"					"Satan burns everybody in his path. Disarmed."

"DOTA_Tooltip_ability_satan_trade"										"Bloody Trade"
"DOTA_Tooltip_ability_satan_trade_Description"							"Satan trades a part of his current health to increase his damage for a short time."
"DOTA_Tooltip_ability_satan_trade_Note0"								"Lost health can't kill Satan."
"DOTA_Tooltip_ability_satan_trade_Note1"								"Loosing health will start the cooldown on blink dagger."
"DOTA_Tooltip_ability_satan_trade_Note2"								"Additional damage can be purged."
"DOTA_Tooltip_ability_satan_trade_health_lose"							"%HEALTH LOSE:"
"DOTA_Tooltip_ability_satan_trade_damage_get"							"%HP TO DAMAGE:"
"DOTA_Tooltip_ability_satan_trade_duration"								"DURATION:"
"DOTA_Tooltip_modifier_satan_trade_attack"								"Trade Result"
"DOTA_Tooltip_modifier_satan_trade_attack_Description"					"Gain %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%% damage."

"DOTA_Tooltip_ability_satan_overpain"									"Painkiller"
"DOTA_Tooltip_ability_satan_overpain_Description"						"For a short time Satan absorbs a percent of incoming damage and regenerates faster."
"DOTA_Tooltip_ability_satan_overpain_duration"							"DURATION:"
"DOTA_Tooltip_ability_satan_overpain_damage_decrease"					"%INCOMING DAMAGE DECREASE:"
"DOTA_Tooltip_ability_satan_overpain_hp_regen"							"%REGENERATION:"

"DOTA_Tooltip_modifier_satan_overpain_active"							"Painkiller"
"DOTA_Tooltip_modifier_satan_overpain_active_Description"				"Devil does not feel pain."

"DOTA_Tooltip_ability_satan_curse"										"Devil's Curse"
"DOTA_Tooltip_ability_satan_curse_Description"							"Satan curses the enemy, slowing it, disabling passive and active abilities aswell as disarming the target."
"DOTA_Tooltip_ability_satan_curse_duration"								"DURATION:"

"DOTA_Tooltip_modifier_satan_curse_debuff"								"Cursed by Lucifer"
"DOTA_Tooltip_modifier_satan_curse_debuff_Description"					"Lucifer is law."

"DOTA_Tooltip_ability_satan_special_bonus_trade_damage"					"+50% damage Bloody Trade"
	"DOTA_Tooltip_ability_satan_special_bonus_trade_duration"				"+15sec duration to Bloody Trade"
	"DOTA_Tooltip_ability_satan_special_bonus_might_nocd"					"Removes Satan's Might cooldown"
	"DOTA_Tooltip_ability_satan_special_bonus_breath_damage"				"+100 damage to Satan's Breath"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\satan.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\shadowsong.txt' begin 
"npc_dota_hero_antimage"										"Shadowsong"

"DOTA_Tooltip_ability_shadowsong_magic_fire" 					"Magic Fire"
"DOTA_Tooltip_ability_shadowsong_magic_fire_Description"		"Magic fire burns the mana of the enemy unit, and deals damage equal to a percentage of their maximum mana."
"DOTA_Tooltip_ability_shadowsong_magic_fire_manaburn" 			"BURN:"

"DOTA_Tooltip_ability_angel_arena_firehell"						"Firehell"
"DOTA_Tooltip_ability_angel_arena_firehell_Description"			"The earth burns under Shadowsong, dealing damage over time to enemy units within range."
"DOTA_Tooltip_ability_angel_arena_firehell_radius"				"RADIUS:"		
"DOTA_Tooltip_ability_angel_arena_firehell_damage"				"DAMAGE:"	
"DOTA_Tooltip_ability_angel_arena_firehell_damage_pct"			"%DAMAGE:"
"DOTA_Tooltip_ability_shadowsong_special_bonus_firedamage"		"+125 damage for Firehell"
"DOTA_Tooltip_ability_shadowsong_special_bonus_firedamagepct"	"+1.25% damage from max health for Firehell"

"DOTA_Tooltip_ability_angel_arena_death_aura"					"Aura of Death"
"DOTA_Tooltip_ability_angel_arena_death_aura_Description"		"Death aura aids allies, increasing their movement speed and health regeneration."
"DOTA_Tooltip_ability_angel_arena_death_aura_aura_radius"		"RADIUS:"		
"DOTA_Tooltip_ability_angel_arena_death_aura_bonus_speed"		"%SPEED:"	
"DOTA_Tooltip_ability_angel_arena_death_aura_hp_regen"			"REGEN:"
"DOTA_Tooltip_modifier_death_aura"								"Death Aura"
"DOTA_Tooltip_modifier_death_aura_Description"					"Death aura is giving this unit bonus movement speed and regen."

"DOTA_Tooltip_ability_angel_arena_demonic"						"Demonic Manifestation"
"DOTA_Tooltip_ability_angel_arena_demonic_Description"			"Transform into a demon, gaining increased base attack damage, modified attack speed, increased attack range, and increased health for a short duration."
"DOTA_Tooltip_ability_angel_arena_demonic_duration"				"DURATION:"		
"DOTA_Tooltip_ability_angel_arena_demonic_base_attack_time"		"BASE ATTACK:"	
"DOTA_Tooltip_ability_angel_arena_demonic_attack_range"			"ATTACK RANGE:"
"DOTA_Tooltip_ability_angel_arena_demonic_bonus_damage"			"BONUS DAMAGE:"
"DOTA_Tooltip_ability_angel_arena_demonic_bonus_damage_pct"		"%BONUS DAMAGE:"
"DOTA_Tooltip_ability_angel_arena_demonic_bonus_hp"				"BONUS HP:"

"DOTA_Tooltip_modifier_demonic"									"DEMON"
"DOTA_Tooltip_modifier_demonic_Description"						"OH MY GOD! IT'S A FREAKING DEMON!"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\shadowsong.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\shadow_demon.txt' begin 
"DOTA_Tooltip_ability_shadow_demon_shadow_poison_damage_pct"		"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\shadow_demon.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\shadow_fiend.txt' begin 
"DOTA_Tooltip_ability_nevermore_dark_lord_disarmor_percent"			"%DISARMOR:"
"DOTA_Tooltip_modifier_passive_dark_lord_disarmor"					"DISARMOR"

"DOTA_Tooltip_ability_nevermore_shadowraze1_damage_by_attack"		"DAMAGE BY PHYSICAL ATTACK:"
"DOTA_Tooltip_ability_nevermore_shadowraze2_damage_by_attack"		"DAMAGE BY PHYSICAL ATTACK:"
"DOTA_Tooltip_ability_nevermore_shadowraze3_damage_by_attack"		"DAMAGE BY PHYSICAL ATTACK:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\shadow_fiend.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\shadow_shaman.txt' begin 
"DOTA_Tooltip_ability_shadow_shaman_ether_shock_damage_pct"			"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\shadow_shaman.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\silencer.txt' begin 
"DOTA_Tooltip_ability_silencer_curse_of_the_silent_damage_pct"		"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\silencer.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\slardar.txt' begin 
"DOTA_Tooltip_modifier_slardar_amplify_damage_Description"			"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nProvides True Sight too."
"DOTA_Tooltip_ability_slardar_slithereen_crush_damage_pct"			"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_slardar_amplify_damage_armor_reduction_pct"	"%DISARMOR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\slardar.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\spike.txt' begin 
"npc_dota_hero_bloodseeker"									"Spike"

"DOTA_Tooltip_ability_spike_dash"							"Spiked Dash"
"DOTA_Tooltip_ability_spike_dash_Description"				"Spike rushes forward, dealing damage to all and deal basic attack to enemies."
"DOTA_Tooltip_ability_spike_dash_range_tooltip"				"RANGE:"
"DOTA_Tooltip_modifier_spike_dash_active"					"Dashed"

"DOTA_Tooltip_ability_spike_dash_damage_tooltip"			"DAMAGE:"
"DOTA_Tooltip_modifier_spike_dash_active"					"Dashing"

"DOTA_Tooltip_ability_angel_arena_shell"					"Thorn Shell"
"DOTA_Tooltip_ability_angel_arena_shell_Description"		"Reflects a percentage of incoming damage back to the attacker."
"DOTA_Tooltip_ability_angel_arena_shell_return_damage"		"%RETURN:"

"DOTA_Tooltip_ability_spike_heal"				"Healing Ward"
"DOTA_Tooltip_ability_spike_heal_Description"	"Provide healing to allies, gaining a percentage of health back."
"DOTA_Tooltip_ability_spike_heal_duration"		"DURATION:"
"DOTA_Tooltip_ability_spike_heal_heal_per_sec"	"%HEAL:"

"DOTA_Tooltip_Ability_spike_conclusion"									"Conclusion"
"DOTA_Tooltip_Ability_spike_conclusion_Description"						"Spike purges all negative effects and gets enraged. While he is enraged spike refreshes all skills and items, but following usage will increase the ability or item cooldown. \nPassive - Spike gains bonus damage for every killed enemy unit when he has the talent."
"DOTA_Tooltip_Ability_spike_conclusion_duration"						"DURATION:"
"DOTA_Tooltip_Ability_spike_conclusion_total_cooldown"					"%COOLDOWN INCREASED:"
"DOTA_Tooltip_Ability_spike_conclusion_damage_by_creep"					"DAMAGE PER CREEP KILL:"
"DOTA_Tooltip_Ability_spike_conclusion_damage_by_hero"					"DAMAGE PER HERO KILL:"
"DOTA_Tooltip_modifier_spike_conclusion_active"							"Conclusion of Madness"
"DOTA_Tooltip_modifier_spike_conclusion_active_Description"				"Madness swallowed this hero."
"DOTA_Tooltip_modifier_spike_conclusion_attack"							"Bonus Damage"
"DOTA_Tooltip_modifier_spike_conclusion_attack_Description"				"Get %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%% bonus damage."

"DOTA_Tooltip_Ability_spike_special_bonus_attack"						"+1 damage per killed creep, +10 damage per killed hero"
"DOTA_Tooltip_Ability_spike_special_bonus_dash_doubled"					"Spiked Dash deals 200% attack damage"
"DOTA_Tooltip_Ability_spike_special_bonus_shell_25"						"+17% damage reflected by Thorn Shell"
"DOTA_Tooltip_Ability_spike_special_bonus_shell_block"					"Thorn Shell now blocks incoming damage"

"DOTA_Tooltip_modifier_spike_special_bonus_attack"						"Attack bonus"

"DOTA_Tooltip_modifier_spike_special_bonus_attack_Description"			"Getting %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%% attack damage"

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\spike.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\spirit_breaker.txt' begin 
"DOTA_Tooltip_ability_spirit_breaker_greater_bash_damage_pct"		"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_spirit_breaker_nether_strike_damage_pct"		"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\spirit_breaker.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\storm_spirit.txt' begin 
"DOTA_Tooltip_ability_storm_spirit_overload_damage_pct"		"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\storm_spirit.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\sven.txt' begin 
"DOTA_Tooltip_ability_sven_gods_strength_duration"						"DURATION:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\sven.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\techies.txt' begin 
"DOTA_Tooltip_ability_techies_remote_mines_damage_pct"				"%DAMAGE:"
"DOTA_Tooltip_ability_techies_suicide_damage_pct"					"%DAMAGE(MAGICAL):"
"DOTA_Tooltip_ability_techies_land_mines_damage_pct"				"%DAMAGE(MAGICAL):"
"DOTA_Tooltip_ability_special_bonus_unique_techies_4"				"+50 Mines Movement Speed"

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\techies.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\timbersaw.txt' begin 
"DOTA_Tooltip_ability_shredder_chakram_damage_pct"					"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_shredder_chakram_2_damage_pct"				"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\timbersaw.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\treant.txt' begin 
"DOTA_Tooltip_ability_treant_overgrowth_damage_pct"					"%DAMAGE WITH SCEPTER FROM STRENGTH:"
"DOTA_Tooltip_ability_treant_overgrowth_damage_pct_creep"			"%DAMAGE WITH SCEPTER FROM STRENGTH TO CREEPS:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\treant.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\troll_warlord.txt' begin 
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_damage_pct"		"%DAMAGE:"
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_ranged_damage_pct"	"%DAMAGE:"

"DOTA_Tooltip_ability_troll_warlord_fervor_aa"								"Fervor"
"DOTA_Tooltip_ability_troll_warlord_fervor_aa_Description"					"Troll Warlord learns about the weakness of his target with each attack, increasing his damage and attack speed. \nIf Troll changes targets, the stacks drop to zero"
"DOTA_Tooltip_ability_troll_warlord_fervor_aa_attack_speed"					"ATTACK SPEED:"
"DOTA_Tooltip_ability_troll_warlord_fervor_aa_damage"						"DAMAGE:"
"DOTA_Tooltip_ability_troll_warlord_fervor_aa_duration"						"DURATION:"
"DOTA_Tooltip_modifier_troll_warlord_fervor_stack_rewrited"					"Fervor Stack"
"DOTA_Tooltip_modifier_troll_warlord_fervor_stack_rewrited_Description"		"Increase damage by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%% and attack speed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%."

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\troll_warlord.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\tusk.txt' begin 
"DOTA_Tooltip_ability_tusk_ice_shards_damage_pct"					"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_tusk_snowball_damage_pct"						"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\tusk.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\undying.txt' begin 
"DOTA_Tooltip_ability_undying_decay_damage_pct"						"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_undying_soul_rip_damage_pct"					"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\undying.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\venomancer.txt' begin 
"DOTA_Tooltip_ability_venomancer_poison_sting_dmg_pct"				"%DAMAGE FROM AGI:"

"DOTA_Tooltip_ability_venomancer_ward_cleave"						"Plague Cleave"
"DOTA_Tooltip_ability_venomancer_ward_cleave_Description"			"Deal cleave attack"
"DOTA_Tooltip_ability_venomancer_ward_cleave_radius"				"RADIUS:"
"DOTA_Tooltip_ability_venomancer_ward_cleave_cleave_percent"		"%DAMAGE:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\venomancer.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\visage.txt' begin 
"DOTA_Tooltip_ability_visage_soul_assumption_damage_pct"			"%DAMAGE:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\visage.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\warlock.txt' begin 
"DOTA_Tooltip_ability_warlock_shadow_word_heal_pct"					"%HEAL FROM INT:"
"DOTA_Tooltip_ability_warlock_shadow_word_dmg_pct_tooltip"			"%HEAL FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\warlock.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\windrunner.txt' begin 
"DOTA_Tooltip_ability_windrunner_volley"								"Arrow Volley"
"DOTA_Tooltip_ability_windrunner_volley_Description"					"Gives windrunner the ability to bring down a volley of arrows.\nUpgradable with Aghanim's Scepter."
"DOTA_Tooltip_ability_windrunner_volley_radius"							"RADIUS:"
"DOTA_Tooltip_ability_windrunner_volley_radius_scepter"					"RADIUS SCEPTER:"

"DOTA_Tooltip_ability_windrunner_powershot_damage_pct"					"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\windrunner.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\winter_wyvern.txt' begin 
"DOTA_Tooltip_ability_winter_wyvern_splinter_blast_damage_pct"		"%DAMAGEA:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\winter_wyvern.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\wisp.txt' begin 
"DOTA_Tooltip_ability_wisp_spirits_damage_pct"							"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\wisp.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\witch_doctor.txt' begin 
"DOTA_Tooltip_modifier_voodoo_restoration_dummy"					"Healing"
"DOTA_Tooltip_ability_witch_doctor_voodoo_restoration_heal_percent"	"%HEAL:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\witch_doctor.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\!empty.txt' begin 

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\!empty.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\abyssal_blade.txt' begin 
"DOTA_Tooltip_Ability_item_abyssal_blade_2"							"Abyssal Blade"
"DOTA_Tooltip_ability_item_abyssal_blade_2_Lore"					"The lost blade of the Commander of the Abyss, this edge cuts into an enemy's soul."
"DOTA_Tooltip_ability_item_abyssal_blade_2_Description"				"<h1>Active: Overwhelm</h1> Stuns a target enemy unit for %stun_duration% seconds. Pierces Spell Immunity.\n<h1>Passive: Bash</h1> Grants each attack a chance to stun the target for %bash_duration% seconds and deal %bonus_chance_damage% bonus damage, based on whether the equipped hero is ranged or melee.\n<h1>Passive: Damage Block</h1> Makes the wielder block damage from each incoming attack based on whether the equipped hero is melee or ranged."
"DOTA_Tooltip_ability_item_abyssal_blade_2_bash_chance_melee"		"%BASH MELEE CHANCE:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bash_chance_ranged"		"%BASH RANGED CHANCE:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_damage"			"+$damage"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_strength"			"+$str"
"DOTA_Tooltip_ability_item_abyssal_blade_2_Note0"					"The stun is melee range."
"DOTA_Tooltip_ability_item_abyssal_blade_2_Note1"					"Doesn't stack with other bashes."
"DOTA_Tooltip_ability_item_abyssal_blade_2_bash_duration"			"BASH STUN DURATION:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_stun_duration"			"OVERWHELM STUN DURATION:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_chance_damage"		"BASH BONUS DAMAGE:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_health"			"+$health"
"DOTA_Tooltip_ability_item_abyssal_blade_2_bonus_health_regen"		"+$hp_regen"
"DOTA_Tooltip_ability_item_abyssal_blade_2_block_damage_melee"		"BLOCK DAMAGE MELEE:"
"DOTA_Tooltip_ability_item_abyssal_blade_2_block_damage_ranged"		"BLOCK DAMAGE RANGED:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\abyssal_blade.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\advanced_midas.txt' begin 
"DOTA_Tooltip_Ability_item_advanced_midas"								"Demons of Midas"
"DOTA_Tooltip_Ability_item_advanced_midas_Description"					"<h1>Active: Transmute</h1> Kills a non-hero target and gives 750 gold and 9.0x experience. Cannot be used on Ancient Creeps.\n<h1>Passive: Bounty</h1> Give for bounty rune 200 gold + 1.75 gold for every game minute"
"DOTA_Tooltip_Ability_item_advanced_midas_bonus_attackspeed"			"+$attack"
"DOTA_Tooltip_ability_item_hand_of_midas_transmute_cast_range_tooltip"	"TRANSMUTE CAST RANGE:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\advanced_midas.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\aegis_aa.txt' begin 
"DOTA_Tooltip_Ability_item_aegis_aa"									"Aegis of the Immortal"
"DOTA_Tooltip_ability_item_aegis_aa_Lore"								"The Immortal was said to own a shield that protected him from death itself."
"DOTA_Tooltip_ability_item_aegis_aa_Description"						"<h1>Passive: Reincarnation</h1> Brings you to life with full health and mana %reincarnate_time% seconds after you die, at the location where you died. Reincarnation must be used within %disappear_time_minutes_tooltip% minutes or Aegis of the Immortal disappears. If it expires, it will heal you over 5 seconds (dispels on damage)."

"Dota_tooltip_modifier_aegis_tooltip"									"Aegis of Immortal"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\aegis_aa.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\amaliels_cuirass.txt' begin 
"DOTA_Tooltip_Ability_item_amaliels_cuirass"						"Amaliels Cuirass"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_Description"			"<h1>Passive: Amaliels Aura</h1> All nearby friendly units gain extra armor and attack speed while the armor of nearby enemies is reduced."
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_armor"			"+$armor"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_aspeed"			"+$attack"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_health"			"+$health"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_stats"			"+$all"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_armor_aura"		"AURA ARMOR:"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_aspeed_aura"		"AURA ASPEED:"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_bonus_friend_radius"	"AURA RADIUS:"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_disarmor_aura"			"ENEMIES DISARMOR:"
"DOTA_Tooltip_Ability_item_amaliels_cuirass_enemy_radius"			"EMEMIES DISARMOR RADIUS:"

"DOTA_Tooltip_modifier_amaliels_cuirass_aura_friend"				"Amaliels Aura"
"DOTA_Tooltip_modifier_amaliels_cuirass_aura_friend_Description"	"Amaliels Aura is giving this unit armor and attack speed"

"DOTA_Tooltip_modifier_amaliels_cuirass_aura_enemy"					"Amaliels Aura"
"DOTA_Tooltip_modifier_amaliels_cuirass_aura_enemy_Description"		"Amaliels Aura is decreasing the armor of this unit"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\amaliels_cuirass.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_armor.txt' begin 
"DOTA_Tooltip_Ability_item_angels_armor"							"Angels Armor"
"DOTA_Tooltip_Ability_item_angels_armor_Description"				"The angel's bones provide armor, stats, health and attack speed to the owner. \n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_angels_armor_bonus_armor"				"+$armor"
"DOTA_Tooltip_Ability_item_angels_armor_attack_speed"				"+$attack"
"DOTA_Tooltip_Ability_item_angels_armor_bonus_health"				"+$health"
"DOTA_Tooltip_Ability_item_angels_armor_bonus_stats"				"+$all"
"DOTA_Tooltip_Ability_item_angels_armor_dummy"						"Angels Armor"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_Description"			"The angel's bones provide armor, stats, health and attack speed to the owner. \n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_bonus_armor"			"+$armor"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_attack_speed"			"+$attack"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_bonus_health"			"+$health"
"DOTA_Tooltip_Ability_item_angels_armor_dummy_bonus_stats"			"+$all"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_armor.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_blood.txt' begin 
"DOTA_Tooltip_Ability_item_angels_blood"							"Angels Blood"
"DOTA_Tooltip_Ability_item_angels_blood_Description"				"Blood from a defeated angel.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_angels_blood_bonus_hp_regen"				"+$hp_regen"
"DOTA_Tooltip_Ability_item_angels_blood_dummy"						"Angels Blood"
"DOTA_Tooltip_Ability_item_angels_blood_dummy_Description"			"Blood from a defeated angel.\n(NOT PURCHASABLE)\n(DROPS FROM BOSSES)"
"DOTA_Tooltip_Ability_item_angels_blood_dummy_bonus_hp_regen"		"+$hp_regen"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_blood.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_desolators.txt' begin 
"DOTA_Tooltip_Ability_item_angels_desolators"						"Angels Desolators"
"DOTA_Tooltip_Ability_item_angels_desolators_Description"			"<h1>Passive: Angelic Corruption</h1> Your attacks reduce the target's armor for 8 seconds.\n\n"
"DOTA_Tooltip_Ability_item_angels_desolators_bonus_damage"			"+$damage"
"DOTA_Tooltip_Ability_item_angels_desolators_corruption_armor"		"ARMOR REDUCE:"
"DOTA_Tooltip_Ability_item_angels_desolators_corruption_duration"	"DURATION:"

"DOTA_Tooltip_modifier_angels_desolator_armor"						"Broken Armor"
"DOTA_Tooltip_modifier_angels_desolator_armor_Description"			"Armor reduced by 16."
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\items\angels_desolators.txt' end

